,Query,Search Option,Max Score,Mean Score,Min Score,Num of Documents
0,What is VeriSoft framework?,{'search_kwargs': {'k': 5}},0.9909876,0.4655280474573374,0.028698804,5.0
1,What is VeriSoft framework?,{'search_kwargs': {'k': 10}},0.9909876,0.2520105838775635,0.018719228,10.0
2,What is VeriSoft framework?,{'search_kwargs': {'k': 15}},0.9909876,0.18734803820649784,0.018719302,15.0
3,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.25}}",0.9909876,0.25868592895567416,0.018719254,5.0
4,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.5}}",0.9909876,0.38321272693574426,0.018719228,5.0
5,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.75}}",0.9909876,0.4660821370780468,0.031469252,5.0
6,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.25}}",0.9909876,0.21834442317485808,0.018719254,10.0
7,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.5}}",0.9909876,0.26565035320818425,0.018719254,10.0
8,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.75}}",0.9909876,0.25393171347677707,0.018719254,10.0
9,What is VeriSoft framework?,"{'search_type': 'similarity_score_threshold', 'search_kwargs': {'score_threshold': 0.5}}",0.9909876,0.5747354403138161,0.15184766,4.0
10,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 30}}",0.9909876,0.38441747054457664,0.018719245,5.0
11,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 50}}",0.9909876,0.36736671258695425,0.0012744816,5.0
12,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 70}}",0.9909876,0.3568984314799309,0.011693643,5.0
13,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 30}}",0.9909876,0.2613282321020961,0.018719245,10.0
14,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 50}}",0.9909876,0.2542530103120953,0.0012744816,10.0
15,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 70}}",0.9909876,0.24901895041111857,0.002785385,10.0
16,How to use the @DriverCapabilities annotation?,{'search_kwargs': {'k': 5}},0.9905151,0.8761961936950684,0.6715163,5.0
17,How to use the @DriverCapabilities annotation?,{'search_kwargs': {'k': 10}},0.9905151,0.7266726162284612,0.06160232,10.0
18,How to use the @DriverCapabilities annotation?,{'search_kwargs': {'k': 15}},0.9905151,0.6290405526136359,0.012889671,15.0
19,How to use the @DriverCapabilities annotation?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.25}}",0.95319575,0.6183318108320236,0.048155114,5.0
20,How to use the @DriverCapabilities annotation?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.5}}",0.95319575,0.5439069740474224,0.012889635,5.0
21,How to use the @DriverCapabilities annotation?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.75}}",0.9905151,0.9123128533363343,0.85209936,5.0
22,How to use the @DriverCapabilities annotation?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.25}}",0.9905151,0.5855549778789282,0.012889635,10.0
23,How to use the @DriverCapabilities annotation?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.5}}",0.9905151,0.6570940282195806,0.012889635,10.0
24,How to use the @DriverCapabilities annotation?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.75}}",0.9905151,0.7470609709620476,0.048155114,10.0
25,How to use the @DriverCapabilities annotation?,"{'search_type': 'similarity_score_threshold', 'search_kwargs': {'score_threshold': 0.5}}",0.9905151,0.9273660778999329,0.85319465,4.0
26,How to use the @DriverCapabilities annotation?,"{'search_type': 'similarity_score_threshold', 'search_kwargs': {'score_threshold': 0.7}}",0.9905151,0.9520898858706156,0.9125588,3.0
27,How to use the @DriverCapabilities annotation?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 30}}",0.95319587,0.5955730445683003,0.038388465,5.0
28,How to use the @DriverCapabilities annotation?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 50}}",0.9896884,0.5684608414769172,0.023080591,5.0
29,How to use the @DriverCapabilities annotation?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 70}}",0.9896884,0.5684608414769172,0.023080591,5.0
30,How to use the @DriverCapabilities annotation?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 30}}",0.9905151,0.5056704956106841,0.0128896525,10.0
31,How to use the @DriverCapabilities annotation?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 50}}",0.9896884,0.41881902134045956,0.0128896525,10.0
32,How to use the @DriverCapabilities annotation?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 70}}",0.9896884,0.42018737848848103,0.023080666,10.0
33,What is the difference between the local thread and the global store?,{'search_kwargs': {'k': 5}},0.9891957,0.5651284034131094,0.0017721629,5.0
34,What is the difference between the local thread and the global store?,{'search_kwargs': {'k': 10}},0.9891957,0.38653295383555814,0.0012181406,10.0
35,What is the difference between the local thread and the global store?,{'search_kwargs': {'k': 15}},0.9891958,0.2596925102911579,0.0005662002,15.0
36,What is the difference between the local thread and the global store?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.25}}",0.923358,0.20260235328460113,0.00056620076,5.0
37,What is the difference between the local thread and the global store?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.5}}",0.95767033,0.3878935769200325,0.0042026592,5.0
38,What is the difference between the local thread and the global store?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.75}}",0.95767033,0.5593095375224948,0.0042026592,5.0
39,What is the difference between the local thread and the global store?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.25}}",0.923358,0.1098251160728978,0.00038446175,10.0
40,What is the difference between the local thread and the global store?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.5}}",0.95767033,0.19643159528495743,0.00056619965,10.0
41,What is the difference between the local thread and the global store?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.75}}",0.95767033,0.28584856920642776,0.0012181406,10.0
42,What is the difference between the local thread and the global store?,"{'search_type': 'similarity_score_threshold', 'search_kwargs': {'score_threshold': 0.5}}",0.9891957,0.7059674886986613,0.04403312,4.0
43,What is the difference between the local thread and the global store?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 30}}",0.95767033,0.3773969851084985,0.00042448257,5.0
44,What is the difference between the local thread and the global store?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 50}}",0.95767033,0.3766296828194754,0.00022443071,5.0
45,What is the difference between the local thread and the global store?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 70}}",0.95767033,0.3766296828194754,0.00022443071,5.0
46,What is the difference between the local thread and the global store?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 30}}",0.95767033,0.19522461080923675,0.00042448257,10.0
47,What is the difference between the local thread and the global store?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 50}}",0.95767033,0.19376977140491364,0.00022443093,10.0
48,What is the difference between the local thread and the global store?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 70}}",0.95767033,0.19376977140491364,0.00022443093,10.0
49,What is the EnvConfig class and how to use it?,{'search_kwargs': {'k': 5}},0.9904942,0.32312776930630205,0.027225554,5.0
